county,avg_annual_tpp_returns,avg_appraised_per_return,avg_county_tax_per_return,county_rate_per_100,three_yr_total_assessed,multi_district,comptroller_return_count,audited_realization_pct,realization_source
Anderson,1903,397718.56,2545.09,2.13308,681172571,yes,yes,98.78,statewide median
Bedford,1436,208716.22,1455.92,2.3252,269744838,no,yes,98.78,statewide median
Benton,428,157400.31,1074.21,2.27489,60677820,no,yes,98.9,computed
Bledsoe,133,120488.61,745.7,2.063,14386340,no,yes,95.65,computed
Blount,3911,428606.98,2044.46,1.59,1508782289,no,yes,98.78,statewide median
Bradley,2339,440658.57,1656.07,1.25272,927630354,yes,yes,98.78,statewide median
Campbell,894,199664.38,874.47,1.4599,160649964,no,yes,97.7,computed
Cannon,285,98491.7,467.33,1.58162,25292669,no,yes,99.11,computed
Carroll,625,183530.44,657.23,1.19367,103235873,yes,yes,98.44,computed
Carter,996,135343.06,885.14,2.18,121280914,no,yes,99.23,computed
Cheatham,1161,163435.67,902.52,1.84073,170724902,yes,yes,99,policy
Chester,,279585.28,1523.94,1.8169,139097858,no,no,99.09,computed
Claiborne,760,207431.01,1446.34,2.32422,141882813,no,yes,98.91,computed
Clay,119,106183.73,828.23,2.6,11404133,no,yes,98.74,computed
Cocke,847,171846.6,1060.31,2.0567,131050214,no,yes,98.21,computed
Coffee,1448,342006.23,2616.04,2.5497,445599914,yes,yes,99.07,computed
Crockett,244,410200.34,2498.06,2.02995,90203054,no,yes,98.64,computed
Cumberland,1751,258264.76,879.39,1.135,406921958,no,yes,98,policy
Davidson,,279585.28,2333.42,2.782,6570468094,yes,no,98.78,statewide median
DeKalb,766,161298.64,1126.59,2.32817,111199284,no,yes,99.28,computed
Decatur,239,219276.73,1464.54,2.22632,47100642,no,yes,98.39,computed
Dickson,1972,232783.92,1285.08,1.84017,413144896,no,yes,99,policy
Dyer,1378,251459.69,1640.61,2.17478,311935746,no,yes,99.41,computed
Fayette,837,288352.8,1005.74,1.16263,217302670,no,yes,99.2,computed
Fentress,246,148041.94,599.57,1.35,32776486,no,yes,98.23,computed
Franklin,1237,247754.34,1483.03,1.9953,275899232,yes,yes,98,policy
Gibson,1348,230394.08,624.0,0.9028,279583218,yes,yes,98.64,computed
Giles,753,359553.64,2255.23,2.09077,243561635,no,yes,99,policy
Grainger,185,148917.16,1049.87,2.35,24839383,no,yes,98.88,computed
Greene,1152,617368.71,3055.98,1.65,640273090,yes,yes,98.74,computed
Grundy,208,144640.24,618.77,1.426,27033260,no,yes,92,policy
Hamblen,1770,525770.45,2773.38,1.7583,837552325,yes,yes,98.96,computed
Hamilton,,279585.28,1523.94,1.8169,3116721734,no,no,98.78,statewide median
Hancock,90,87307.33,581.47,2.22,7098086,no,yes,96.02,computed
Hardeman,557,285396.26,1549.87,1.8102,143069146,no,yes,99.2,computed
Hardin,463,751175.41,3943.67,1.75,312789442,no,yes,97.78,computed
Hawkins,1042,253139.46,1883.85,2.48065,237470124,no,yes,98.16,computed
Haywood,556,542578.37,3366.91,2.06846,271343442,no,yes,99,policy
Henderson,699,223057.26,1058.3,1.5815,140258405,yes,yes,99.24,computed
